Year,Month,NSIDC v4 Antarctic (millionkm2),NSIDC v4 Antarctic uncertainty
1978,11,0.00,
1978,12,-0.01,
1979,1,0.40,
1979,2,0.07,
1979,3,-0.03,
1979,4,0.64,
1979,5,0.67,
1979,6,0.84,
1979,7,0.56,
1979,8,-0.02,
1979,9,-0.29,
1979,10,-0.28,
1979,11,-0.56,
1979,12,-1.17,
1980,1,-0.44,
1980,2,-0.25,
1980,3,-0.74,
1980,4,-1.45,
1980,5,-1.30,
1980,6,-0.86,
1980,7,-0.40,
1980,8,0.09,
1980,9,0.33,
1980,10,0.47,
1980,11,0.23,
1980,12,-0.25,
1981,1,-0.59,
1981,2,-0.20,
1981,3,-0.64,
1981,4,-1.01,
1981,5,-0.81,
1981,6,-0.24,
1981,7,0.08,
1981,8,0.02,
1981,9,0.11,
1981,10,0.19,
1981,11,0.21,
1981,12,0.48,
1982,1,0.26,
1982,2,0.06,
1982,3,0.26,
1982,4,0.87,
1982,5,0.60,
1982,6,0.07,
1982,7,-0.09,
1982,8,0.07,
1982,9,-0.14,
1982,10,-0.31,
1982,11,-0.36,
1982,12,-1.19,
1983,1,-0.23,
1983,2,0.00,
1983,3,-0.01,
1983,4,-0.38,
1983,5,-0.63,
1983,6,-0.71,
1983,7,-0.49,
1983,8,-0.47,
1983,9,0.10,
1983,10,-0.18,
1983,11,0.11,
1983,12,-0.02,
1984,1,-0.22,
1984,2,-0.39,
1984,3,-0.42,
1984,4,-0.43,
1984,5,-0.41,
1984,6,-0.12,
1984,7,0.44,
1984,8,0.21,
1984,9,-0.32,
1984,10,-0.53,
1984,11,0.23,
1984,12,0.06,
1985,1,-0.54,
1985,2,-0.23,
1985,3,-0.31,
1985,4,-0.36,
1985,5,-0.01,
1985,6,0.08,
1985,7,-0.24,
1985,8,-0.09,
1985,9,0.21,
1985,10,0.10,
1985,11,0.24,
1985,12,0.94,
1986,1,0.42,
1986,2,0.12,
1986,3,-0.33,
1986,4,-0.46,
1986,5,-0.86,
1986,6,-0.66,
1986,7,-0.64,
1986,8,-0.72,
1986,9,-0.81,
1986,10,-0.92,
1986,11,-0.89,
1986,12,-0.76,
1987,1,0.13,
1987,2,0.18,
1987,3,0.08,
1987,4,-0.05,
1987,5,-0.47,
1987,6,-0.67,
1987,7,-0.21,
1987,8,-0.12,
1987,9,-0.24,
1987,10,-0.43,
1987,11,-0.32,
1987,12,,
1988,1,,
1988,2,-0.18,
1988,3,-0.06,
1988,4,-0.56,
1988,5,-0.56,
1988,6,-0.26,
1988,7,-0.21,
1988,8,-0.16,
1988,9,-0.18,
1988,10,0.26,
1988,11,0.25,
1988,12,0.65,
1989,1,-0.26,
1989,2,-0.09,
1989,3,-0.10,
1989,4,-0.54,
1989,5,0.14,
1989,6,0.23,
1989,7,-0.25,
1989,8,-0.25,
1989,9,-0.37,
1989,10,-0.24,
1989,11,-0.17,
1989,12,-0.57,
1990,1,-0.13,
1990,2,-0.03,
1990,3,-0.06,
1990,4,0.15,
1990,5,-0.44,
1990,6,-0.27,
1990,7,-0.39,
1990,8,-0.15,
1990,9,-0.30,
1990,10,-0.15,
1990,11,-0.43,
1990,12,-0.46,
1991,1,0.34,
1991,2,0.09,
1991,3,-0.22,
1991,4,0.20,
1991,5,0.12,
1991,6,-0.28,
1991,7,-0.41,
1991,8,-0.00,
1991,9,-0.18,
1991,10,-0.18,
1991,11,-0.32,
1991,12,-0.22,
1992,1,-0.25,
1992,2,-0.23,
1992,3,-0.46,
1992,4,-0.06,
1992,5,-0.24,
1992,6,-0.54,
1992,7,-0.07,
1992,8,0.01,
1992,9,-0.34,
1992,10,-0.17,
1992,11,0.00,
1992,12,-0.20,
1993,1,-0.59,
1993,2,-0.59,
1993,3,-0.36,
1993,4,-0.20,
1993,5,-0.06,
1993,6,-0.20,
1993,7,-0.11,
1993,8,-0.23,
1993,9,0.05,
1993,10,0.03,
1993,11,0.14,
1993,12,-0.48,
1994,1,-0.03,
1994,2,0.13,
1994,3,0.52,
1994,4,0.37,
1994,5,0.25,
1994,6,0.21,
1994,7,0.34,
1994,8,0.12,
1994,9,0.12,
1994,10,-0.01,
1994,11,-0.02,
1994,12,-0.31,
1995,1,0.64,
1995,2,0.49,
1995,3,0.60,
1995,4,0.42,
1995,5,0.26,
1995,6,-0.06,
1995,7,-0.22,
1995,8,0.06,
1995,9,-0.12,
1995,10,-0.07,
1995,11,-0.27,
1995,12,0.21,
1996,1,0.87,
1996,2,-0.09,
1996,3,0.15,
1996,4,0.43,
1996,5,0.76,
1996,6,0.52,
1996,7,0.16,
1996,8,0.02,
1996,9,0.14,
1996,10,-0.14,
1996,11,-0.18,
1996,12,-0.76,
1997,1,-0.80,
1997,2,-0.58,
1997,3,-0.57,
1997,4,-0.36,
1997,5,-0.04,
1997,6,-0.23,
1997,7,-0.04,
1997,8,-0.04,
1997,9,0.11,
1997,10,-0.11,
1997,11,-0.17,
1997,12,-0.12,
1998,1,-0.54,
1998,2,-0.08,
1998,3,0.08,
1998,4,0.00,
1998,5,0.17,
1998,6,-0.04,
1998,7,0.00,
1998,8,0.16,
1998,9,0.41,
1998,10,0.56,
1998,11,0.40,
1998,12,0.11,
1999,1,-0.18,
1999,2,-0.10,
1999,3,-0.05,
1999,4,0.04,
1999,5,0.11,
1999,6,0.30,
1999,7,0.32,
1999,8,0.24,
1999,9,0.21,
1999,10,0.25,
1999,11,0.06,
1999,12,0.31,
2000,1,-0.25,
2000,2,-0.16,
2000,3,0.06,
2000,4,0.28,
2000,5,0.76,
2000,6,0.54,
2000,7,0.14,
2000,8,0.49,
2000,9,0.40,
2000,10,0.03,
2000,11,-0.14,
2000,12,-0.50,
2001,1,0.23,
2001,2,0.58,
2001,3,0.70,
2001,4,0.19,
2001,5,0.17,
2001,6,0.07,
2001,7,-0.11,
2001,8,-0.30,
2001,9,-0.32,
2001,10,-0.37,
2001,11,-0.29,
2001,12,-0.06,
2002,1,-0.26,
2002,2,-0.11,
2002,3,-0.28,
2002,4,-0.52,
2002,5,-0.65,
2002,6,-0.97,
2002,7,-0.55,
2002,8,-0.65,
2002,9,-0.60,
2002,10,-0.23,
2002,11,-0.49,
2002,12,0.38,
2003,1,0.77,
2003,2,0.72,
2003,3,0.41,
2003,4,0.36,
2003,5,0.58,
2003,6,0.64,
2003,7,0.44,
2003,8,-0.14,
2003,9,-0.19,
2003,10,0.10,
2003,11,0.21,
2003,12,0.15,
2004,1,0.59,
2004,2,0.51,
2004,3,0.50,
2004,4,0.43,
2004,5,0.31,
2004,6,0.43,
2004,7,0.37,
2004,8,0.29,
2004,9,0.43,
2004,10,0.36,
2004,11,0.18,
2004,12,-0.18,
2005,1,-0.25,
2005,2,-0.10,
2005,3,0.05,
2005,4,0.18,
2005,5,0.13,
2005,6,-0.06,
2005,7,0.20,
2005,8,0.20,
2005,9,0.31,
2005,10,0.38,
2005,11,0.42,
2005,12,-0.73,
2006,1,-0.84,
2006,2,-0.42,
2006,3,-0.82,
2006,4,-0.84,
2006,5,-0.70,
2006,6,-0.01,
2006,7,0.15,
2006,8,0.38,
2006,9,0.60,
2006,10,0.63,
2006,11,0.33,
2006,12,-0.56,
2007,1,-0.33,
2007,2,-0.17,
2007,3,-0.20,
2007,4,-0.43,
2007,5,-0.51,
